ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;VENDAS
1990;JUN;REGIÃO NORTE;ACRE;ETANOL HIDRATADO;966,731
1990;MAI;REGIÃO NORTE;ACRE;ETANOL HIDRATADO;727,958
1990;ABR;REGIÃO NORTE;ACRE;ETANOL HIDRATADO;1849,276
1990;OUT;REGIÃO SUDESTE;ESPÍRITO SANTO;ETANOL HIDRATADO;14465,835
1990;JUN;REGIÃO CENTRO-OESTE;MATO GROSSO;ETANOL HIDRATADO;13853,83
1990;JUL;REGIÃO CENTRO-OESTE;MATO GROSSO;ETANOL HIDRATADO;15223,534
1990;AGO;REGIÃO CENTRO-OESTE;MATO GROSSO;ETANOL HIDRATADO;12123,975
1990;JAN;REGIÃO NORTE;RONDÔNIA;ETANOL HIDRATADO;3892,205
1990;ABR;REGIÃO SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;60708,564
1990;NOV;REGIÃO CENTRO-OESTE;MATO GROSSO;ETANOL HIDRATADO;18851,919
1990;MAR;REGIÃO SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;52128,85
1990;FEV;REGIÃO SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;31437,954
1990;JAN;REGIÃO SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;63232,764
1990;DEZ;REGIÃO SUL;SANTA CATARINA;ETANOL HIDRATADO;41870,36
1990;NOV;REGIÃO SUL;SANTA CATARINA;ETANOL HIDRATADO;44785,303
1990;OUT;REGIÃO SUL;SANTA CATARINA;ETANOL HIDRATADO;33113,44
1990;SET;REGIÃO SUL;SANTA CATARINA;ETANOL HIDRATADO;35644,131
1990;AGO;REGIÃO SUL;SANTA CATARINA;ETANOL HIDRATADO;31478,239
1990;FEV;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;10903,925
1990;MAR;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;10794,601
1990;ABR;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;14540,664
1990;MAI;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;11195,609
1990;OUT;REGIÃO CENTRO-OESTE;MATO GROSSO;ETANOL HIDRATADO;12177,895
1990;SET;REGIÃO CENTRO-OESTE;MATO GROSSO;ETANOL HIDRATADO;13181,47
